username,tweetcreatedts,tweet
imyoo0urss,2022-07-17 11:20:30+00:00,"aku kelas 12 tapi shock banget anjir sekolah sampe jam 4 aakkk soalnya kan emg kebiasaan sekolah nyantai selama pandemi dari yg sekolah dirumah 1,5 thn, awal offline sekolah cuma 2x seminggu, sekolah 50% terus 100% itu juga cuma smpe jam 12 inii anjay smpe jam 4 dah ky sklh bnran"
Stayyy0108,2022-07-17 11:12:23+00:00,@convomfs Nggk bosennnnnnn malahan lebih bosen belajar online dari pada offline kalau offline enak walupun ktmu tmn itu2 aja tapi ada kenangannya semasa sekolah dari pada trus2an online
FajrulAhmeed,2022-07-17 11:10:09+00:00,"sekolah sekarang offline, mpls juga pasti offline, disaat itu lah photocopy an kembali ke masa jaya nya"
nasigorengpabo,2022-07-17 10:58:17+00:00,@schfess Online karena kalo offline kadang suka kurang fokus di sekolah. Kalo online di rumah biasanya lebih fokus karena suasananya ga berisik.
studyinhg,2022-07-17 10:57:34+00:00,@schfess sekolah offline tapi ujiannya online
amybearry,2022-07-17 10:56:59+00:00,"@Aksarabiiru SAMAA 🙏😭 walaupun dulu gue sekolah offline, tapi pengen balik jugaa 😭"
haechanlof,2022-07-17 10:56:47+00:00,"@schfess Offline, selain karena lebih paham materi, sekola offline tu ad kenangan tersendirinya aja gitu bareng warga sekolah, temen sekolah"
Whywithi,2022-07-17 10:55:32+00:00,"@schfess Mpls onlen sekolah offline, secara SMK g guna bgt anj kalau online"
ssefnum,2022-07-17 10:53:34+00:00,"-rl yang masih sekolah SMA/SMP, kalian selama offline ini absennya manual (disebutin sama guru) atau pake gform? kalo pake gform, isi di formnya tuh apa aja selain nama? thanks sebelumnya."
renjunkayang,2022-07-17 10:44:06+00:00,Sekolah kalian offline atau online?
urinsecurexxx,2022-07-17 10:38:42+00:00,"@schfess Sekolah daring ngeluh, dah mulai offline juga ngeluh. Ealah namanya juga manusia"
urkyanmacat,2022-07-17 10:31:24+00:00,Bsk sekolah offline tpi akunya lagi flu😭👎
bbyuncandy,2022-07-17 10:18:37+00:00,"Setujuuu sama kata baekhyun, dibanding riweuh ngehindarin supaya ga basah pas hujan, gue lebih suka sengaja keguyur hujan WKWKWK dulu kalo pulang sekolah atau kuliah offline, terus tas udah dipastikan aman ga kena hujan, gue jalannya sengaja pelan dari gang ke rumah wkwke"
afifahhrh,2022-07-17 10:16:56+00:00,"Jadi kangen waktu masih online HAHAHA. Sekarang udah kelas 12, sekolah offline dan pulang sore https://t.co/JiWJk1vxAi"
denycia07,2022-07-17 09:51:09+00:00,"Masalahnya udh kyk km ituu, oh iya maaf ya se klo akhir² ini aku g bisa mampir ke tweet dlu dan foto langit soalnya aku udh mulai sekolah offline 100% jdi pasti aku sibuk bgt nanti, sekali lgi maaf y? 🥺🫤
Tpi tenang aja aku di sekolah bakalan tetap liat langit kok (klo sempat)😅"
ilyyysmA_,2022-07-17 09:43:35+00:00,"iya si aku mau sekolah offline YA TAPI GA FULL DAY JUGAA FAKKK UDH BERANGKAT JAM 6.15 PULANG NYA JAM 4 belum lagi ekskul, organisasi LESS GO"
krshnd25,2022-07-17 09:37:39+00:00,"@schfess Klo boleh jujur nder, lebih capek sekolah online yang paling sampai jam 12/1 dibanding offline sampai jam 4😀

Klo yg offline biasa aja sih, pulang sekolah habis ashar ya sampai rumah istirahat sampai sekitaran magrib baru ntar malamnya baru belajar/nugas"
DropYourEgo_,2022-07-17 09:29:53+00:00,@shintaaaaa31 tapi ketolong pas sekolah offline sih
barebaebears,2022-07-17 09:23:15+00:00,"@itsurcrmell enggaak gituu, cuma lebih ke kaget aja ini sekolah offline nya cuma 1 tahun setengah, terus taunya udah diterima di kampus aja 😭"
idnmanagement,2022-07-17 08:12:48+00:00,"Puas-puasin weekend kalian inget besok senin, yang kerja mulai kerja, dan yang sekolah mulai pada sekolah kan?🫡😆

Cobaa absen dong sekolah kalian masih online atau udah offline? Jawab dibawah yaa!🤩

#IdnManagement #IndoensiaManagement #IdnStar"
mrtbkmaniezz,2022-07-17 07:53:28+00:00,"@convomf 10-30k si, kalo sekolah offline tu kadang uang tiap harinya ga abis trus bakalan numpuk” besok”nya jd makin banyak wkwkwk"
GAlkumaira,2022-07-17 06:52:43+00:00,"@aileenvel22 Alasan kedua karna aku tinggal di pesantren kak. Gak bisa ikut bimbel online karna gak dibolehin bawa hp atau laptop, juga gak bisa ikut bimbel offline karna gak dibolehin keluar dari area pesantren kecuali jam sekolah. Dan juga karna buku² di perpustakaan sekolah aku, cont—"
ronronronpret,2022-07-17 06:22:08+00:00,@aslide_ lohh blum kah? tapi udah sekolah offline?
nikolawahyu,2022-07-17 06:16:39+00:00,"Tempat les offline yg sering dateng ke sekolah gue dan minta gue buat isi formulir udh kayak pinjol anjir, dichat mulu sial ... Diteror."
daredevicl,2022-07-17 06:04:55+00:00,"sekolah gw masih selang seling online offline zzzz dan nambah lama, amore idiot"
langstud,2022-07-17 05:42:46+00:00,"@schfess gapapa, sekolah offline seru ko nder 
mungkin karena udah terbiasa online jd pas offline agak gimana gitu tp percaya deh dengan offline, bakal banyak pengalaman dan pembelajaran yang bikin kmu lebih berkembang drpd pas masih online"
tiramisuaddictt,2022-07-17 05:11:13+00:00,Pgn sekolah offline.................................
outofharu,2022-07-17 04:54:56+00:00,@strawbezyy wkwkw!! ntar kalo udh lulus kangen sekolah jd harus di nikmatin 👍🏻👍🏻 btw skrg sekolah udh offline yaa?
freesialv,2022-07-17 04:47:48+00:00,"@schfess pandemi, belajar akuntansi pake gmeet tp gurunya bukanny share screen malah nulis di papan tulis klo koneksi jelek ya burem. susah jg bersosialisasi nya, wisuda online lg. sekolah offline cuma 1 thun doang. sedih bgt masa sma gw"
Denald,2022-07-17 04:03:28+00:00,"Lagi musim ya, orang dewasa ngerujak anak usia sekolah di twitter. Fenomena apa ini? *dgn logat Feni Rose 😀

Klo situasi spt ini, sll teringat Mas @pinotski “keep your tantrum offline” Ayok Papin, sehat lagi.

Punya hobi &amp; kesibukan di dunia nyata bisa meredam tantrum dunia maya"
bakmje,2022-07-17 04:03:18+00:00,"@convomfs Pernah! Selama awal pandemi sampai mulai sekolah offline lagi, anak kelas pun sampe notice kalau gue ngilang, gak muncul di grup, gak ada sw, dan deactive ig (ini agak nyesel karna banyak sg lucu lucu) :["
kkkimsunoo,2022-07-17 03:43:57+00:00,"aku bakal jarang on disini karena udah mulai sekolah offline dan pulangnya sore, see you moots 🥹🫶🏻"
ubrokemytrust,2022-07-17 03:31:56+00:00,yey bsk sekolah offline tp balik jam 3 mls banget
ambistious,2022-07-17 01:35:01+00:00,nangis banget disuruh buat vid tiktok perkenalan diri padahal kan sekolah nya dah offline https://t.co/feEUXjBVis
K3LPCAKE,2022-07-17 01:30:45+00:00,"Ya allah aku SMP angkatan Corona yang sekolah offline cuma dua jam setengah doang
Sekarang masuk SMK, masuk jam 7 pulang jam 4 😭"
K3LPCAKE,2022-07-17 01:19:46+00:00,"@ccurioscatt Kok bisa masih online, sekolah ku offline huhu mana besok mpls D:"
plibig,2022-07-17 01:14:19+00:00,"oiya, tema putih karena sekarang sekolah offline banyak diluar ruangan / tempat cerah dan daripada ningkatin kecerahan hp terus dan jadi boros baterai, aku milih ganti temanya"
pahnh__,2022-07-17 00:32:03+00:00,"@noubara @convomfs sebenernya udh di bilangin dari pas sekolah masih belum full 100% offline, cuma pas ini di bilangin masih pada shock 🥹"
ncholelvs,2022-07-16 18:00:37+00:00,"@najaem1303 cuman senin doang kak, selasa-jumat offline 😭 makasi kak, kakak jg semangat sekolah nya!"
shadijk4,2022-07-16 17:41:24+00:00,@mariachrsta EMBER BEEEBBB 🤣 satu2nya alasan gw semangat sekolah offline kayaknya cuma agar bisa maksi manado dah
elizarei,2022-07-16 16:56:22+00:00,"Gue biasanya sehari jalan/jogging 3 jam non-stop. Karena sekarang ngajar sekolah offline alias pergi pagi pulang sore, cuma sempet jalan 1.5 jam: stasiun-sekolah (10 menitan), sekolah-stasiun (sama), stasiun-rumah (70 menitan)"
DaintyHolly,2022-07-16 16:24:21+00:00,aku open mingdep ya. soalnya mau menyesuaikan diri sama sekolah offline.. ntar pas open disambut sama layout layout baru koqqq. ditunggu yawww
injenolee,2022-07-16 16:06:30+00:00,"@convomfs anjirit shock banget akskskak mau sekolah offline, tapi pulang dzuhur"
7hoshi10tomushi,2022-07-16 15:45:54+00:00,"@honeymilkeutea @literarybase Saya belinya di toko peralatan kantor, tapi dijual juga di toko furnitur online dan offline. Coba cari kata kunci ""lemari arsip besi"" di Ijo atau Oren 

Bahannya plat besi, jadi dijamin kuat. Biasanya sekolah, kampus, atau kantor pakai lemari ini buat menyimpan arsip dokumen"
fuscusrn,2022-07-16 15:29:19+00:00,"@beamessages bisa yuk bisa, apalagi sekolah udh offline pasti lebih susah 🥹 semangat sender 🫶🏻"
najaemminna,2022-07-16 15:21:00+00:00,@citato2k gw mulai senin depan sekolah offline fullday 😢
zonahaechan,2022-07-16 15:03:11+00:00,"kalo udah mulai kbm offline bakal sibuk banget, ga bisa selalu ngehype haechan, sekolah sampe jam 3, abis itu latihan basket, terus les😢"
iamveiya,2022-07-16 15:01:30+00:00,"@schfess pliss ini sih, kemarin waktu offline awal smt 6 sakit pinggang di sekolah. solusinya buat perenggangan dan dibiasain duduk lama. jadi kalo lagi dirumah tuh rebahannya dikurangii"
vanteble,2022-07-16 14:58:33+00:00,"Aduh 🥲🥲 kayaknya perlu hp baru biar memo ga penuh, sekolah dah offline tp belajar ttp tdk pakai buku"
jumilkawin,2022-07-16 14:33:09+00:00,ini kalo sekolah offline berarti udh ada renang tiap bulan🤟🫂🏋‍♂️
mygstd_,2022-07-16 14:18:34+00:00,"br ngerasain sekolah full offline kelas 11, trnyt keren bgt ya tugasnya udh seabrek"
peachythicz,2022-07-16 14:00:34+00:00,"ok jam tidur mulai normal kaya pas sekolah offline dulu, skrng dah berasa ngantuk, kalau pas kemarin kemarin jam segini blm ada apa apanya😀"
alwys_wtu,2022-07-16 13:56:45+00:00,"@schfess sekolah ku &gt;3 menjelang masuk sekolah,  tp skrg masi offline dan bnr2 ga was2 lagi aku jg heran"
desukce,2022-07-16 13:56:12+00:00,"@tiptipeh males main twt, dah sekolah offline jg"
tsukeisi,2022-07-16 13:34:13+00:00,ya Allah baru mau sekolah offline https://t.co/cc7Y7Fsxzf
eatacheesecake,2022-07-16 13:16:32+00:00,radio sekolah pliss yuk bisa yuk aktif lagii biar projek rosis bisa berjalan offline di sekolah😓
inijodohjimin,2022-07-16 12:56:20+00:00,"@sshunsiiine @schfess Mjb ya ka, aku mau tanya dong
Kira2 mending bimbel online atau offline gitu ya? Kmrn bimbel talen*a abis promosi gtu disekolahku, trs ortu suruh ikut gtu kan. Tp aku sbnrnya sendiri kurang minat karna jarak sekolah-rumah jauh bgt, trs mikir buat bimbel online aja
Kira²–"
ph0oenix_,2022-07-16 12:15:28+00:00,sekolah/kuliah offline enak ga sih😔
k3iiya,2022-07-16 12:00:14+00:00,"ini sekolah harus bolehin club offline tahun ini, kalo iya ku otw buat dance club wiuwiu 💃"
hxycxnlyy,2022-07-16 11:50:23+00:00,"@convomfs dulu kl sekolah offline ak dirumah tidur doang, full dirumah ya sabtu minggu itu pun kalo ga ada kerkel tp ga berasa cape karna seneng ngelakuinnya"
