username,tweetcreatedts,tweet
sbtcon,2022-07-12 01:59:14+00:00,sbt! bentar lagi sekolah offline pc sender takut ga keurus.. apa berenti sekolah aja ya biar pc nya keurus🥸
marklee94890522,2022-07-12 00:55:02+00:00,@pemko_medan Baru mau masuk sekolah offline pak.. eh Uda pembatasan lagi .. harusnya vaksin booster di tingkatkan pak .. biar cepat adaptasi
Si_jupo,2022-07-12 00:26:58+00:00,"Rangkuman PAIBP Kelas 8 Bab 1 Inspirasi Al-Qur’an: Melestarikan Alam, Menjaga Kehidupan
#sekolah #AnakSekolah #OFFLINE #kelas8 #anaksmp bukan #AustrianGP 
https://t.co/I7eMei9qgh"
imsoftyboy,2022-07-11 23:41:45+00:00,sekarang sekolah offline pulang jamber deh?
brediri,2022-07-11 23:31:16+00:00,"Tiris pisan anjing mandi pagi. Heran gua, sekolah offline dulu jam 5 udah mandi teh meuni kebal pisan, behat juga aing."
YeonjunCutie_,2022-07-11 23:18:02+00:00,Sekolah udh mulai offline angkot juga udh mulai gue ikutan seneng liat angkot akhirnya bisa bawa penumpang penuh gak kaya 2thn yg lalu liat angkot paling banyak bawa penumpang 5org
yonjzgi,2022-07-11 18:48:19+00:00,"@convomf Nayyy apalagi udh mau masuk sekolah trs offline lagiii, takutnya candu hp"
ARTH24th,2022-07-11 17:44:20+00:00,"karna lu emg gamau belajar dan usaha samsek lu bilang lu bener kek gitu?
apa yang gue ambil dari lu,lu kelamaan zoom,lu ga biasa sekolah offline,ga biasa tatap muka,dan ketika tatap muka BOOOMM lu kaget,lu gasuka diatur,lu ngerasa kecapean dgn itu
kalo apa yang lu kritis cont"
aazzkaa,2022-07-11 16:55:56+00:00,"@convomfs kalo offline tuh lebih ngerti materinya, bisa kenalan dan ketemu sama temen"" tapi semenjak sekolah daring 2 taun an aku teh jadi terbiasa tidur siang malah asa udah jadi keharusan kalo engga teh sok pusing, gaada waktu juga nyempetin weh 15 menit mah t_t"
txtdariburjo,2022-07-11 16:51:41+00:00,sp yg mrasa aneh liat anak-anak sekolah offline? saya
1836Rafi,2022-07-11 15:48:57+00:00,"@yourrJen @vancouever Eh tau gasih, sekolah ku libur lagi masa, padahal harusnya udah mulai masuk minggu ini, ehh karena byk yg daftar offline, kelas 11 dan 12 masih diliburkan, bahagia bangett"
