username,tweetcreatedts,tweet
sbmptnfess,2022-06-17 08:55:06+00:00,"Ges aku baru bangun tidur siang terus tiba2 kepikiran, kemaren aku baru aja ngasih2 baju seragam sekolah ke sepupuku termasuk rok hitam sama baju putab krn lagi bebenah lemari, padahal klo ospek ptn! nya offline kan masi kepake :)) *eh kira2 bakal offline ga ya?? Gpp  (cont..)"
metaee4ff,2022-06-17 08:30:47+00:00,"@tanyakanrl ini mepet kkm banget nder asli 😅 soalnya nilah akhir semester kan. coba lo flashback 1 tahun belakangan ini :
1. lo rajin masuk sekolah even itu online/offline ya? 
2. lo rajin ngerjain tugas ga? 

karena yaa untuk ukuran rajin itu setidaknya 80 udah di tangan, sisanya kemampuan"
worthinui,2022-06-17 07:47:57+00:00,@schfess seringgg apalagi pas jaman mulainya sekolah offline lagi di jkt krn sekolahku salah satu sekolah pertama yg dibuka buat luring trs diberitain mulu di channel channel nasional wkwk
herestheteaser,2022-06-17 07:30:44+00:00,gue diusir anjj!! mak gue nanyain mulu gue offline kapan soalnya kamar gue mau dikos in buat anak temen mak gue yg sekolah di smansa..
JAEMIN1924,2022-06-17 06:52:13+00:00,"@schfess percaya ga percaya, tapi ya kenyataan nya begini sksksk padahal masih pengen ngerasain sekolah offline, jajan ke kantin, gibah di kelas, liatin crush"
Adityawepe___,2022-06-17 06:17:57+00:00,udah sekolah offline kan? siapa tau butuh #fnfjb https://t.co/sBYrJvteTA
Lampupi86977358,2022-06-17 05:50:52+00:00,@PPDBDKI1 @De_n_a Artinya tidak wajib kita lapor diri secara offline ya ke sekolah tujuan? karena kwatir nama anak hilang atau terhapus.
dreaminmk,2022-06-17 05:20:16+00:00,"sekolah 2 tahun time so fast, 1 setengah tahun online trus sisanya offline tp cepet banget 🥺 https://t.co/D4GfppGz8U"
Pagarbetisfs,2022-06-17 03:24:53+00:00,"Detail lelang #betis12

Bagpack Mitre
2 resleting
Ada slot laptop 
Tinggi 49cm, lebar 30cm

(-) tulisan Mitre agak faded

Sudah mulai sekolah offline dan WFO! https://t.co/Gs0JWJ9w1B"
dinadimu,2022-06-17 02:56:43+00:00,"Plis ya, Covid. Jangan ngadi-ngadi lagi. Anak aku mau sekolah offline, udah dia nanti-nanti selama berbulan-bulan. Dia udah berdoa tiap malam biar kamu hilang. Dia udah rajin pakai masker &amp; cuci tangan. Dia udah vaksin. Plis plis plis."
istirahards,2022-06-17 02:16:23+00:00,"💭 things u remember from 2022? 

jan : mulai masuk 100% offline
feb : photoshoot yearbook
mar : uprak &amp; ujian sekolah
apr : pusing nunggu hasil snm, dilema lanjut sbm atau suren
may : pulang kampung 
jun : wisuda https://t.co/uEnjVRWY7c"
kanalbali,2022-06-16 18:37:55+00:00,"Via ini mengatakan, siswa sekolah mengalami masa-masa sulit karena terpaksa bersekolah secara #online tanpa bertemu dengan teman-temannya secara #OFFLINE . #pelajar #denpasar #Bali 
https://t.co/L7UH9TP6ho"
